Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Albany,Weekly,"2020-01-26 00:00:00","Conventional ",1.110000000,119807.77,4411.65,83404.51,272.00,31719.61,11175.72,18697.23,1846.66
Albany,Weekly,"2020-01-19 00:00:00","Conventional ",1.030000000,158753.71,5475.80,127139.63,319.44,25818.84,10230.82,14368.02,1220.00
Albany,Weekly,"2020-01-12 00:00:00","Conventional ",0.970000000,134040.63,3934.24,106147.50,209.81,23749.08,8715.36,13781.50,1252.22
Albany,Weekly,"2020-01-05 00:00:00","Conventional ",0.920000000,185688.43,4038.61,163629.86,193.31,17826.65,7098.37,9384.95,1343.33
Atlanta,Weekly,"2020-01-26 00:00:00","Conventional ",0.930000000,827996.78,388506.03,35682.99,2772.47,401035.29,331555.58,69328.18,151.53
Atlanta,Weekly,"2020-01-19 00:00:00","Conventional ",0.880000000,824648.09,381041.13,34983.18,3683.86,404939.92,351862.68,52910.96,166.28
Atlanta,Weekly,"2020-01-12 00:00:00","Conventional ",0.880000000,844402.20,372120.95,37790.11,2637.07,431854.07,370512.24,61173.39,168.44
Atlanta,Weekly,"2020-01-05 00:00:00","Conventional ",0.890000000,812755.45,355460.73,37303.12,2905.78,417085.82,371318.63,45627.67,139.52
Baltimore/Washington,Weekly,"2020-01-26 00:00:00","Conventional ",1.200000000,1123603.36,105729.94,454790.78,5323.04,557759.60,311589.05,246019.44,151.11
Baltimore/Washington,Weekly,"2020-01-19 00:00:00","Conventional ",1.230000000,1077672.01,120998.35,443795.34,4901.79,507976.53,350912.36,156830.84,233.33
Baltimore/Washington,Weekly,"2020-01-12 00:00:00","Conventional ",1.260000000,948410.14,98296.04,412765.32,4715.95,432632.83,263850.85,168535.31,246.67
Baltimore/Washington,Weekly,"2020-01-05 00:00:00","Conventional ",1.130000000,1040583.36,120288.69,522244.65,6213.88,391836.14,239052.24,152663.90,120.00
Boise,Weekly,"2020-01-26 00:00:00","Conventional ",1.050000000,122496.42,43258.55,5324.44,1227.73,72685.70,39893.16,21490.70,11301.84
Boise,Weekly,"2020-01-19 00:00:00","Conventional ",0.920000000,148024.21,49737.45,5048.91,1146.98,92090.87,55834.87,25556.53,10699.47
Boise,Weekly,"2020-01-12 00:00:00","Conventional ",1.020000000,141505.85,41313.77,9217.38,1231.79,89742.91,44381.25,34285.52,11076.14
Boise,Weekly,"2020-01-05 00:00:00","Conventional ",1.090000000,121921.10,35816.52,8749.59,1834.52,75520.47,39530.82,31962.59,4027.06
Boston,Weekly,"2020-01-26 00:00:00","Conventional ",1.200000000,756344.44,14627.17,402936.03,2032.79,336748.45,140249.77,195772.01,726.67
Boston,Weekly,"2020-01-19 00:00:00","Conventional ",1.230000000,804999.29,17036.72,478246.46,2442.27,307273.84,153783.71,153160.13,330.00
Boston,Weekly,"2020-01-12 00:00:00","Conventional ",1.270000000,712912.97,13429.49,439759.93,1387.48,258336.07,149663.12,108292.95,380.00
Boston,Weekly,"2020-01-05 00:00:00","Conventional ",1.180000000,762475.92,11242.17,494342.34,1486.19,255405.22,110420.12,144661.77,323.33
Buffalo/Rochester,Weekly,"2020-01-26 00:00:00","Conventional ",0.970000000,223188.79,8963.54,67462.59,345.17,146417.49,62211.65,80948.06,3257.78
Buffalo/Rochester,Weekly,"2020-01-19 00:00:00","Conventional ",1.010000000,222502.62,10395.37,74571.41,270.23,137265.61,64728.51,70180.44,2356.66
Buffalo/Rochester,Weekly,"2020-01-12 00:00:00","Conventional ",1.000000000,215290.66,10160.93,69702.04,338.45,135089.24,95824.35,36928.23,2336.66
Buffalo/Rochester,Weekly,"2020-01-05 00:00:00","Conventional ",1.150000000,193953.89,11768.48,78719.55,371.44,103094.42,40150.31,60710.78,2233.33
California,Weekly,"2020-01-26 00:00:00","Conventional ",1.230000000,6059624.68,1839168.44,751362.98,175012.01,3294081.25,1702774.56,1381892.67,209414.02
California,Weekly,"2020-01-19 00:00:00","Conventional ",1.050000000,7351356.83,1908457.08,1130507.83,194792.64,4117599.28,1546783.47,2188705.92,382109.89
California,Weekly,"2020-01-12 00:00:00","Conventional ",1.100000000,6950084.14,2080166.00,942003.48,142502.03,3785412.63,1720900.19,1797140.43,267372.01
California,Weekly,"2020-01-05 00:00:00","Conventional ",1.120000000,6728876.94,2002909.60,969150.02,205572.28,3551245.04,1691083.77,1448494.60,411666.67
Charlotte,Weekly,"2020-01-26 00:00:00","Conventional ",1.110000000,331725.23,120108.28,54073.82,2772.01,154771.12,113095.06,41522.72,153.34
Charlotte,Weekly,"2020-01-19 00:00:00","Conventional ",0.950000000,399349.37,123956.22,51839.61,2271.02,221282.52,182676.65,38332.54,273.33
Charlotte,Weekly,"2020-01-12 00:00:00","Conventional ",1.110000000,333879.89,115483.39,59263.17,2803.73,156329.60,113814.53,42295.26,219.81
Charlotte,Weekly,"2020-01-05 00:00:00","Conventional ",1.040000000,336572.71,117562.68,59910.78,4009.71,155089.54,118035.71,36873.83,180.00
Chicago,Weekly,"2020-01-26 00:00:00","Conventional ",1.200000000,791837.62,100295.25,270822.13,34316.11,386404.13,239313.60,146922.93,167.60
Chicago,Weekly,"2020-01-19 00:00:00","Conventional ",1.210000000,777961.96,75278.34,357668.42,38029.40,306985.80,128932.03,177884.40,169.37
Chicago,Weekly,"2020-01-12 00:00:00","Conventional ",1.360000000,667264.67,91168.61,201653.97,42938.03,331504.06,167801.21,163519.45,183.40
Chicago,Weekly,"2020-01-05 00:00:00","Conventional ",1.080000000,807582.31,101085.90,278621.64,42010.95,385863.82,128566.57,257233.80,63.45
Cincinnati/Dayton,Weekly,"2020-01-26 00:00:00","Conventional ",1.010000000,310883.68,66070.03,13145.45,8772.10,222896.10,184992.96,32981.39,4921.75
Cincinnati/Dayton,Weekly,"2020-01-19 00:00:00","Conventional ",0.710000000,381314.44,86382.49,41325.15,10226.89,243379.91,226208.45,14963.15,2208.31
Cincinnati/Dayton,Weekly,"2020-01-12 00:00:00","Conventional ",0.740000000,407672.05,90021.93,13103.61,10048.46,294498.05,271751.84,14820.47,7925.74
Cincinnati/Dayton,Weekly,"2020-01-05 00:00:00","Conventional ",0.730000000,356146.76,93137.63,21602.44,10971.84,230434.85,209011.94,20838.85,584.06
Columbus,Weekly,"2020-01-26 00:00:00","Conventional ",0.940000000,221323.90,56772.44,11600.46,2550.27,150400.73,104993.25,44495.88,911.60
Columbus,Weekly,"2020-01-19 00:00:00","Conventional ",0.700000000,281703.84,80080.91,35878.65,2641.76,163102.52,136007.37,26066.03,1029.12
Columbus,Weekly,"2020-01-12 00:00:00","Conventional ",0.740000000,285629.64,79911.69,11710.44,2031.19,191976.32,164567.04,27167.69,241.59
Columbus,Weekly,"2020-01-05 00:00:00","Conventional ",0.730000000,251781.00,78509.61,18725.55,2124.19,152421.65,130665.08,21493.02,263.55
"Dallas/Ft. Worth",Weekly,"2020-01-26 00:00:00","Conventional ",0.650000000,1728276.49,787118.76,145521.78,12066.52,783569.43,568751.54,214379.44,438.45
"Dallas/Ft. Worth",Weekly,"2020-01-19 00:00:00","Conventional ",0.660000000,1685126.21,721313.89,166249.78,11677.52,785885.02,509585.07,275651.18,648.77
"Dallas/Ft. Worth",Weekly,"2020-01-12 00:00:00","Conventional ",0.720000000,1666475.07,657589.73,207742.84,10656.84,790485.66,450864.81,338958.08,662.77
"Dallas/Ft. Worth",Weekly,"2020-01-05 00:00:00","Conventional ",0.710000000,1600871.66,664611.03,201597.18,13711.05,720952.40,415972.63,304522.94,456.83
Denver,Weekly,"2020-01-26 00:00:00","Conventional ",0.960000000,1060946.24,208756.18,141652.53,3678.52,706859.01,221467.28,471526.40,13865.33
Denver,Weekly,"2020-01-19 00:00:00","Conventional ",0.840000000,1129506.04,202819.36,165783.99,3077.37,757825.32,243454.01,502996.55,11374.76
Denver,Weekly,"2020-01-12 00:00:00","Conventional ",1.070000000,843040.70,206629.28,103376.22,3909.59,529125.61,203294.84,310622.35,15208.42
Denver,Weekly,"2020-01-05 00:00:00","Conventional ",0.950000000,1037906.96,197120.84,165448.03,4322.79,671015.30,182894.87,477921.99,10198.44
Detroit,Weekly,"2020-01-26 00:00:00","Conventional ",0.910000000,557814.72,78373.26,35068.33,38535.97,405837.16,353626.30,47169.69,5041.17
Detroit,Weekly,"2020-01-19 00:00:00","Conventional ",0.860000000,622423.15,122634.89,72828.44,114357.99,312601.83,249611.28,49631.53,13359.02
Detroit,Weekly,"2020-01-12 00:00:00","Conventional ",0.800000000,645737.10,153854.08,39839.62,45375.29,406668.11,379707.18,20315.86,6645.07
Detroit,Weekly,"2020-01-05 00:00:00","Conventional ",0.820000000,527800.24,141345.14,51567.73,79314.16,255573.21,231551.54,18144.61,5877.06
"Grand Rapids",Weekly,"2020-01-26 00:00:00","Conventional ",1.050000000,218922.97,5116.95,42352.16,41156.05,130297.81,116732.28,5589.27,7976.26
"Grand Rapids",Weekly,"2020-01-19 00:00:00","Conventional ",1.140000000,247192.60,4615.63,84297.77,104035.36,54243.84,26839.12,5649.69,21755.03
"Grand Rapids",Weekly,"2020-01-12 00:00:00","Conventional ",1.430000000,183161.26,5848.55,64138.62,49148.25,64025.84,48216.69,6114.16,9694.99
"Grand Rapids",Weekly,"2020-01-05 00:00:00","Conventional ",1.130000000,220500.51,4684.77,83359.20,84719.36,47737.18,27827.45,4958.43,14951.30
"Great Lakes",Weekly,"2020-01-26 00:00:00","Conventional ",0.990000000,4416435.78,760788.49,685319.62,205299.16,2765028.51,2043371.53,682694.51,38962.47
"Great Lakes",Weekly,"2020-01-19 00:00:00","Conventional ",0.910000000,4936833.20,904418.57,1159011.14,493120.76,2380282.73,1680235.90,623997.36,76049.47
"Great Lakes",Weekly,"2020-01-12 00:00:00","Conventional ",0.930000000,4726454.07,981127.81,673015.44,241973.86,2830336.96,2166106.07,617586.29,46644.60
"Great Lakes",Weekly,"2020-01-05 00:00:00","Conventional ",0.890000000,4498529.52,949568.49,880856.09,370879.95,2297224.99,1581935.33,668199.79,47089.87
Harrisburg/Scranton,Weekly,"2020-01-26 00:00:00","Conventional ",0.930000000,403323.15,68397.20,201123.05,771.61,133031.29,107699.55,21273.96,4057.78
Harrisburg/Scranton,Weekly,"2020-01-19 00:00:00","Conventional ",1.010000000,386397.87,75036.54,177894.77,963.35,132503.21,110748.25,17301.62,4453.34
Harrisburg/Scranton,Weekly,"2020-01-12 00:00:00","Conventional ",0.980000000,392328.45,61102.94,185881.78,536.55,144807.18,121206.14,19758.82,3842.22
Harrisburg/Scranton,Weekly,"2020-01-05 00:00:00","Conventional ",0.990000000,394956.19,66879.49,226458.48,598.35,101019.87,81236.56,16452.20,3331.11
Hartford/Springfield,Weekly,"2020-01-26 00:00:00","Conventional ",1.370000000,348108.88,7519.14,254872.55,835.42,84881.77,58984.56,24127.21,1770.00
Hartford/Springfield,Weekly,"2020-01-19 00:00:00","Conventional ",1.390000000,357087.88,8394.92,272171.62,1143.16,75378.18,58441.96,15052.88,1883.34
Hartford/Springfield,Weekly,"2020-01-12 00:00:00","Conventional ",1.410000000,357414.94,7798.07,266175.83,634.64,82806.40,56898.48,24190.15,1717.77
Hartford/Springfield,Weekly,"2020-01-05 00:00:00","Conventional ",1.380000000,395520.35,8256.41,317659.39,713.51,68891.04,48984.24,18413.47,1493.33
Houston,Weekly,"2020-01-26 00:00:00","Conventional ",0.700000000,1365359.58,536849.38,168787.66,1306.17,658416.37,301266.43,344175.15,12974.79
Houston,Weekly,"2020-01-19 00:00:00","Conventional ",0.680000000,1474122.53,514989.56,207755.96,1161.25,750215.76,542119.44,195876.12,12220.20
Houston,Weekly,"2020-01-12 00:00:00","Conventional ",0.700000000,1501410.36,600480.98,226169.56,1302.71,673457.11,307721.52,353461.57,12274.02
Houston,Weekly,"2020-01-05 00:00:00","Conventional ",0.700000000,1441237.76,602142.82,339235.27,1222.90,498636.77,274664.88,213659.44,10312.45
Indianapolis,Weekly,"2020-01-26 00:00:00","Conventional ",0.900000000,279908.91,69234.01,27993.05,4066.17,178615.68,147772.73,29474.43,1368.52
Indianapolis,Weekly,"2020-01-19 00:00:00","Conventional ",0.740000000,331424.49,83627.42,67946.38,5553.27,174297.42,162388.61,11644.11,264.70
Indianapolis,Weekly,"2020-01-12 00:00:00","Conventional ",0.780000000,309427.72,85065.04,27665.70,4050.20,192646.78,183240.08,8292.21,1114.49
Indianapolis,Weekly,"2020-01-05 00:00:00","Conventional ",0.760000000,289110.15,82921.74,40007.70,4887.40,161293.31,151150.46,9542.14,600.71
Jacksonville,Weekly,"2020-01-26 00:00:00","Conventional ",0.910000000,308177.73,109216.78,10557.46,1304.22,187099.27,48546.94,138552.33,0.00
Jacksonville,Weekly,"2020-01-19 00:00:00","Conventional ",0.900000000,303720.63,134659.53,10924.29,1171.82,156964.99,47738.92,109222.74,3.33
Jacksonville,Weekly,"2020-01-12 00:00:00","Conventional ",0.910000000,296838.69,111435.27,10739.60,1030.15,173633.67,106181.58,67452.09,0.00
Jacksonville,Weekly,"2020-01-05 00:00:00","Conventional ",0.900000000,302972.47,133727.65,10458.28,1061.91,157724.63,46967.54,110757.09,0.00
"Las Vegas",Weekly,"2020-01-26 00:00:00","Conventional ",1.050000000,306793.82,68324.14,56618.91,746.98,181103.79,83259.65,97803.01,41.13
"Las Vegas",Weekly,"2020-01-19 00:00:00","Conventional ",0.730000000,527011.95,73866.77,152454.98,804.54,299885.66,97451.41,202399.35,34.90
"Las Vegas",Weekly,"2020-01-12 00:00:00","Conventional ",0.960000000,390807.00,63853.47,51976.55,705.28,274271.70,79962.12,194298.95,10.63
"Las Vegas",Weekly,"2020-01-05 00:00:00","Conventional ",0.920000000,386024.55,62806.47,55204.41,663.88,267349.79,68297.25,197942.54,1110.00
"Los Angeles",Weekly,"2020-01-26 00:00:00","Conventional ",1.140000000,2875214.61,924713.45,67657.52,129678.17,1753165.47,966418.27,630555.66,156191.54
"Los Angeles",Weekly,"2020-01-19 00:00:00","Conventional ",0.940000000,3550567.39,912777.00,94768.97,144701.60,2398319.82,925745.22,1155547.03,317027.57
"Los Angeles",Weekly,"2020-01-12 00:00:00","Conventional ",1.090000000,3125806.23,929495.05,65983.52,106686.72,2023640.94,1035672.99,765986.23,221981.72
"Los Angeles",Weekly,"2020-01-05 00:00:00","Conventional ",1.050000000,3067211.90,913991.69,62160.47,154399.03,1936660.71,970448.74,624012.51,342199.46
Louisville,Weekly,"2020-01-26 00:00:00","Conventional ",0.990000000,131426.15,31673.97,10369.95,92.70,89289.53,65384.58,23904.95,0.00
Louisville,Weekly,"2020-01-19 00:00:00","Conventional ",0.820000000,164601.85,42205.51,20208.21,288.32,101899.81,81295.70,20588.56,15.55
Louisville,Weekly,"2020-01-12 00:00:00","Conventional ",0.800000000,153618.29,47379.72,10750.19,218.51,95269.87,75156.83,20107.74,5.30
Louisville,Weekly,"2020-01-05 00:00:00","Conventional ",0.910000000,133723.06,37889.03,12970.92,235.26,82627.85,63615.48,19005.70,6.67
"Miami/Ft. Lauderdale",Weekly,"2020-01-26 00:00:00","Conventional ",0.910000000,1258435.50,529801.85,43559.31,5362.31,679712.03,167858.07,511840.63,13.33
"Miami/Ft. Lauderdale",Weekly,"2020-01-19 00:00:00","Conventional ",0.920000000,1257729.06,514169.79,37948.22,5544.74,700066.31,145738.94,552614.04,1713.33
"Miami/Ft. Lauderdale",Weekly,"2020-01-12 00:00:00","Conventional ",0.900000000,1243129.55,485948.99,38688.68,4508.81,713983.07,157103.39,556861.91,17.77
"Miami/Ft. Lauderdale",Weekly,"2020-01-05 00:00:00","Conventional ",0.900000000,1285675.89,485437.81,37424.37,4562.05,758251.66,203973.38,554262.06,16.22
Midsouth,Weekly,"2020-01-26 00:00:00","Conventional ",1.050000000,4280577.67,1158028.26,900107.29,20263.37,2202178.75,1498664.37,694687.99,8826.39
Midsouth,Weekly,"2020-01-19 00:00:00","Conventional ",0.980000000,4587929.47,1242617.68,916600.43,18909.85,2409801.51,1839442.77,562314.10,8044.64
Midsouth,Weekly,"2020-01-12 00:00:00","Conventional ",1.020000000,4183793.45,1161391.39,861895.98,20223.30,2140282.78,1548896.35,582323.13,9063.30
Midsouth,Weekly,"2020-01-05 00:00:00","Conventional ",0.970000000,4219760.75,1270816.41,1038403.45,26093.88,1884447.01,1348348.83,529261.39,6836.79
Nashville,Weekly,"2020-01-26 00:00:00","Conventional ",0.820000000,311469.94,130795.42,7401.62,401.17,172871.73,147486.59,24903.99,481.15
Nashville,Weekly,"2020-01-19 00:00:00","Conventional ",0.790000000,345846.03,134780.11,7188.10,309.71,203568.11,179792.47,23234.74,540.90
Nashville,Weekly,"2020-01-12 00:00:00","Conventional ",0.800000000,292711.82,114278.28,7937.44,652.81,169843.29,146086.41,23408.34,348.54
Nashville,Weekly,"2020-01-05 00:00:00","Conventional ",0.820000000,287253.98,117532.70,9292.82,556.25,159872.21,134373.08,25054.95,444.18
"New Orleans/Mobile",Weekly,"2020-01-26 00:00:00","Conventional ",0.830000000,421091.55,199711.95,22535.16,443.00,198401.44,128768.82,59729.29,9903.33
"New Orleans/Mobile",Weekly,"2020-01-19 00:00:00","Conventional ",0.870000000,386974.51,191942.06,19973.68,459.41,174599.36,114261.98,50940.71,9396.67
"New Orleans/Mobile",Weekly,"2020-01-12 00:00:00","Conventional ",0.820000000,366937.73,183926.84,18366.07,408.00,164236.82,112065.29,44188.20,7983.33
"New Orleans/Mobile",Weekly,"2020-01-05 00:00:00","Conventional ",0.860000000,340228.52,173426.91,19824.52,442.00,146535.09,95450.26,43998.17,7086.66
"New York",Weekly,"2020-01-26 00:00:00","Conventional ",1.300000000,1946697.27,38725.73,942684.18,14434.20,949429.94,583119.22,359880.72,6430.00
"New York",Weekly,"2020-01-19 00:00:00","Conventional ",1.360000000,1843608.50,38949.36,1079112.25,17398.89,706692.44,593579.12,106528.88,6584.44
"New York",Weekly,"2020-01-12 00:00:00","Conventional ",1.350000000,1903612.81,33900.28,1014009.73,10300.69,843950.13,572143.42,266543.38,5263.33
"New York",Weekly,"2020-01-05 00:00:00","Conventional ",1.410000000,2295745.27,42892.09,1637672.42,20553.05,593193.11,442704.95,146043.72,4444.44
Northeast,Weekly,"2020-01-26 00:00:00","Conventional ",1.170000000,5740603.31,267576.84,2911488.33,22647.47,2537467.45,1396662.94,1109013.39,31791.12
Northeast,Weekly,"2020-01-19 00:00:00","Conventional ",1.180000000,5975029.33,312992.32,3515327.71,26873.58,2118380.16,1447259.14,640531.02,30590.00
Northeast,Weekly,"2020-01-12 00:00:00","Conventional ",1.210000000,5687105.50,267172.78,3142613.70,16292.63,2259574.41,1466426.10,766878.31,26270.00
Northeast,Weekly,"2020-01-05 00:00:00","Conventional ",1.200000000,6470709.45,264198.91,4465458.53,26013.54,1713603.87,1047398.20,642558.99,23646.68
"Northern New England",Weekly,"2020-01-26 00:00:00","Conventional ",1.110000000,574653.44,10616.87,363518.07,372.69,200145.81,26888.96,172463.52,793.33
"Northern New England",Weekly,"2020-01-19 00:00:00","Conventional ",0.920000000,839194.81,12697.77,683656.47,430.47,142410.10,33420.70,108179.40,810.00
"Northern New England",Weekly,"2020-01-12 00:00:00","Conventional ",1.140000000,568595.44,8995.86,427426.93,275.58,131897.07,26763.69,104230.04,903.34
"Northern New England",Weekly,"2020-01-05 00:00:00","Conventional ",0.830000000,834766.42,8912.66,709765.25,279.03,115809.48,24697.63,90358.51,753.34
Orlando,Weekly,"2020-01-26 00:00:00","Conventional ",0.890000000,724667.83,277791.74,18465.59,4545.40,423865.10,123911.11,299880.65,73.34
Orlando,Weekly,"2020-01-19 00:00:00","Conventional ",0.880000000,714427.97,295778.56,18589.58,5894.80,394165.03,159019.90,231655.13,3490.00
Orlando,Weekly,"2020-01-12 00:00:00","Conventional ",0.890000000,694537.68,271593.60,16784.15,4421.98,401737.95,109844.46,291890.16,3.33
Orlando,Weekly,"2020-01-05 00:00:00","Conventional ",0.870000000,705584.26,267137.07,17851.10,5212.13,415383.96,120977.82,294391.74,14.40
Philadelphia,Weekly,"2020-01-26 00:00:00","Conventional ",1.030000000,646555.45,23915.05,309095.71,2099.74,311444.95,246806.37,59107.47,5531.11
Philadelphia,Weekly,"2020-01-19 00:00:00","Conventional ",1.160000000,591127.21,24657.77,301450.99,2426.88,262591.57,225781.30,30874.72,5935.55
Philadelphia,Weekly,"2020-01-12 00:00:00","Conventional ",1.160000000,619887.76,23812.85,311515.25,1537.43,283022.23,220758.85,57461.16,4802.22
